Station Name: JOHNSTOWN CASTLE 2
Station Height: 62 M 
Latitude:52.298  ,Longitude: -6.497


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
19-sep-2008,0,16.8,0,11.7, , ,0,0.0,1019.5,0.1,0,0,0,10,0,0, , , , , , ,1063
20-sep-2008,0,17.0,0,10.4, , ,0,0.0,1021.1,0.1,0,0,0,10,0,0, , , , , , ,1525
21-sep-2008,0,17.0,0,9.6, , ,0,0.2,1019.4,0.1,0,0,0,0,0,0, , , , , , ,1340
22-sep-2008,0,16.0,0,10.6, , ,0,0.0,1021.4,0.1,0,0,0,0,0,0, , , , , , ,1572
23-sep-2008,0,14.5,0,8.1, , ,0,0.0,1021.2,0.1,0,0,0,10,0,0, , , , , , ,1468
24-sep-2008,0,15.3,0,8.0, , ,0,0.0,1022.0,0.1,0,0,0,350,0,0, , , , , , ,1370
25-sep-2008,0,16.3,0,9.5, , ,0,0.1,1025.5,0.1,0,0,0,0,0,0, , , , , , ,1203
26-sep-2008,0,16.5,0,9.0, , ,0,0.1,1026.7,0.1,0,0,0,0,0,0, , , , , , ,1053
27-sep-2008,0,16.4,0,6.1, , ,0,0.2,1023.6,0.1,0,0,0,0,0,0, , , , , , ,1401
28-sep-2008,0,12.5,0,7.5, , ,0,0.4,1020.2,0.1,0,0,0,0,0,0, , , , , , ,374
29-sep-2008,0,14.2,0,7.2, , ,0,0.0,1012.7,0.1,0,0,0,10,0,0, , , , , , ,704
30-sep-2008,0,14.1,0,11.6, , ,0,1.2,1000.2,0.1,0,0,0,10,0,0, , , , , , ,424
01-oct-2008,0,13.1,0,5.8, , ,0,0.4,995.5,0.1,0,0,0,10,0,0, , , , , , ,1200
02-oct-2008,0,11.4,0,4.7, , ,0,0.5,1002.1,0.1,0,0,0,0,0,0, , , , , , ,996
03-oct-2008,0,11.2,0,4.2, , ,0,0.0,1010.2,0.1,0,0,0,0,0,0, , , , , , ,1164
04-oct-2008,0,14.0,0,6.6, , ,0,14.4,999.0,0.1,0,0,0,0,0,0, , , , , , ,234
05-oct-2008,0,13.9,0,4.8, , ,0,19.4,993.1,0.1,0,0,0,0,0,0, , , , , , ,1266
