Station Name: VALENTIA OBSERVATORY
Station Height: 24 M 
Latitude:51.938  ,Longitude: -10.241


date:   -  00 to 00 utc
rain:   -  Precipitation Amount (mm)
maxtp:  -  Maximum Air Temperature (C)	  
mintp:  -  Minimum  Air Temperature (C)
gmin:   -  09utc Grass Minimum Temperature (C)
soil:   -  Mean 10cm Soil Temperature (C)
wdsp:   -  Mean Wind Speed (knot)
hm:     -  Highest ten minute mean wind speed (knot)		                 
ddhm:   -  Wind Direction at max 10 min. mean (deg)                  
hg:     -  Highest Gust (knot)
cbl:    -  Mean CBL Pressure (hpa)
sun:    -  Sunshine duration (hours)
pe:     -  Potential Evapotranspiration (mm)				
evap:   -  Evaporation (mm)						
smd_wd: -  Soil Moisture Deficits(mm) well drained		
smd_md: -  Soil Moisture Deficits(mm) moderately drained	
smd_pd: -  Soil Moisture Deficits(mm) poorly drained 	
ind:    -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_pd
01-jan-1942,0,11.1,0,9.8,0,8.0,0,1.7,1026.2,15.7,0,19,0,200,0,32, , , ,0.9,1.1, , , 
02-jan-1942,0,11.6,0,10.0,0,8.6,0,4.6,1023.8,14.8,0,23,0,200,0,33, , , ,0.6,0.8, , , 
03-jan-1942,0,12.1,0,9.8,0,9.4,0,16.7,1014.5,14.6,0,24,0,210,0,39, , , ,0.3,0.5, , , 
04-jan-1942,0,9.9,0,4.0,0,6.7,0,3.5,1012.0,14.6,0,24,0,40,0,37, , , ,0.5,0.7, , , 
05-jan-1942,0,4.9,0,1.4,0,0.4,0,0.0,1022.5,15.5,0,31,0,40,0,45, , , ,0.9,1.1, , , 
06-jan-1942,0,8.9,0,1.2,1,-2.2,0,1.2,1031.2,8.2,0,19,0,350,0,29, , , ,0.5,0.7, , , 
07-jan-1942,0,8.9,0,3.2,0,0.7,0,0.7,1032.1,5.2,0,13,0,360,0,21, , , ,0.3,0.4, , , 
08-jan-1942,0,7.9,0,0.3,1,-1.1,0,0.6,1027.9,3.1,0,8,0,330,0,13, , , ,0.1,0.2, , , 
09-jan-1942,0,7.9,0,3.4,1,-0.4,0,2.0,1021.5,6.9,0,12,0,60,0,19, , , ,0.4,0.5, , , 
10-jan-1942,0,6.4,0,0.4,1,-3.2,3,0.0,1023.0,6.6,0,14,0,40,0,26, , , ,0.3,0.4, , , 
11-jan-1942,0,7.2,0,3.7,1,-2.1,0,20.9,1020.2,15.2,0,28,0,350,0,40, , , ,0.7,1.0, , , 
12-jan-1942,0,8.1,1,-0.7,1,-3.3,0,14.5,1008.6,13.3,0,27,0,190,0,48, , , ,0.5,0.7, , , 
13-jan-1942,0,7.7,0,0.6,0,0.2,0,8.6,994.2,6.9,0,18,0,280,0,29, , , ,0.3,0.4, , , 
14-jan-1942,0,7.2,1,-0.1,1,-1.7,0,3.7,1002.7,7.7,0,18,0,140,0,29, , , ,0.2,0.3, , , 
15-jan-1942,0,10.7,0,6.6,1,-0.6,0,26.6,994.0,27.8,0,40,0,150,0,65, , , ,1.1,1.7, , , 
16-jan-1942,0,8.5,0,5.6,0,4.4,0,7.3,1001.7,14.8,0,31,0,330,0,43, , , ,1.0,1.3, , , 
17-jan-1942,0,11.1,0,1.1,1,-0.8,0,8.1,1014.7,11.5,0,23,0,210,0,35, , , ,0.3,0.5, , , 
18-jan-1942,0,10.7,0,3.8,1,-0.9,0,0.6,1016.4,10.3,0,22,0,150,0,38, , , ,0.2,0.3, , , 
19-jan-1942,0,11.6,0,7.8,0,1.8,0,28.2,1009.6,15.0,0,19,0,270,0,34, , , ,1.0,1.2, , , 
20-jan-1942,0,10.7,0,6.3,0,3.3,0,1.8,1011.0,13.2,0,22,0,190,0,36, , , ,0.9,1.1, , , 
21-jan-1942,0,10.1,0,6.1,0,7.8,0,27.2,1010.4,14.5,0,22,0,170,0,37, , , ,0.7,0.9, , , 
22-jan-1942,0,10.4,0,2.3,1,-0.5,0,9.0,1014.4,10.0,0,20,0,200,0,31, , , ,0.4,0.6, , , 
23-jan-1942,0,11.8,0,9.9,0,8.9,0,19.6,1007.3,16.6,0,24,0,230,0,36, , , ,0.8,1.1, , , 
24-jan-1942,0,12.6,0,6.6,0,5.4,0,5.0,1002.2,19.0,0,31,0,300,0,53, , , ,0.9,1.3, , , 
25-jan-1942,0,8.4,0,4.5,0,2.9,0,2.3,1004.2,17.0,0,28,0,290,0,49, , , ,1.5,1.9, , , 
26-jan-1942,0,8.9,0,0.7,1,-0.9,0,1.7,1009.3,10.1,0,24,0,160,0,35, , , ,0.3,0.5, , , 
27-jan-1942,0,10.9,0,4.7,1,-1.2,0,10.6,1004.4,19.6,0,32,0,300,0,53, , , ,0.8,1.1, , , 
28-jan-1942,0,8.7,0,3.9,0,2.5,0,7.5,1005.0,23.8,0,32,0,300,0,55, , , ,1.0,1.5, , , 
29-jan-1942,0,9.6,0,2.9,0,2.8,0,1.5,1010.5,12.9,0,32,0,290,0,58, , , ,0.6,0.8, , , 
30-jan-1942,0,9.9,0,3.9,0,0.0,0,4.9,1010.2,22.8,0,34,0,330,0,56, , , ,0.7,1.1, , , 
31-jan-1942,0,9.4,0,7.7,0,3.8,0,1.6,1017.9,18.4,0,33,0,330,0,48, , , ,1.3,1.7, , , 
01-feb-1942,0,10.6,0,8.9,0,6.9,0,1.1,1019.9,15.6,0,24,0,330,0,42, , , ,0.6,0.8, , , 
