Station Name: SHANNON AIRPORT
Station Height: 15 M 
Latitude:52.690  ,Longitude: -8.918


date:   -  00 to 00 utc
rain:   -  Precipitation Amount (mm)
maxtp:  -  Maximum Air Temperature (C)	  
mintp:  -  Minimum  Air Temperature (C)
gmin:   -  09utc Grass Minimum Temperature (C)
soil:   -  Mean 10cm Soil Temperature (C)
wdsp:   -  Mean Wind Speed (knot)
hm:     -  Highest ten minute mean wind speed (knot)		                 
ddhm:   -  Wind Direction at max 10 min. mean (deg)                  
hg:     -  Highest Gust (knot)
cbl:    -  Mean CBL Pressure (hpa)
sun:    -  Sunshine duration (hours)
pe:     -  Potential Evapotranspiration (mm)				
evap:   -  Evaporation (mm)						
smd_wd: -  Soil Moisture Deficits(mm) well drained		
smd_md: -  Soil Moisture Deficits(mm) moderately drained	
smd_pd: -  Soil Moisture Deficits(mm) poorly drained 	
ind:    -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,soil,pe,evap,smd_wd,smd_md,smd_pd
01-sep-1945,0,19.2,0,14.4,0,13.6,0,0.2,1013.8,12.0,0,20,0,90,0,27,1.6,0, ,1.6,2.3, , , 
02-sep-1945,0,20.7,0,14.8,0,13.4,3,0.0,1018.2,7.3,0,12,0,100,0,16,9.3,0, ,2.5,3.5, , , 
03-sep-1945,0,23.3,0,11.8,0,9.6,3,0.0,1021.2,4.2,0,8,0,100,0,12,11.4,0, ,2.9,3.9, , , 
04-sep-1945,0,21.6,0,9.4,0,6.7,3,0.0,1024.2,6.2,0,13,0,310,0,18,5.3,0, ,2.0,2.7, , , 
05-sep-1945,0,21.3,0,12.2,0,11.3,3,0.0,1024.9,4.9,0,9,0,100,0,13,3.6,0, ,1.8,2.4, , , 
06-sep-1945,0,20.5,0,12.8,0,10.3,2,0.0,1025.2,6.0,0,11,0,180,0,15,3.3,0, ,1.9,2.5, , , 
07-sep-1945,0,19.4,0,8.2,0,8.9,3,0.0,1023.2,6.9,0,10,0,100,0,13,10.4,0, ,2.3,3.3, , , 
08-sep-1945,0,19.9,0,5.7,0,3.3,0,0.1,1019.8,5.1,0,9,0,100,0,13,5.2,0, ,2.4,3.1, , , 
09-sep-1945,0,19.2,0,11.0,0,10.1,0,4.2,1013.5,13.8,0,24,0,150,0,32,1.0,0, ,1.5,2.2, , , 
10-sep-1945,0,21.2,0,15.1,0,14.3,0,4.5,1007.9,12.7,0,23,0,150,0,33,5.6,0, ,2.0,2.9, , , 
11-sep-1945,0,21.3,0,14.1,0,13.4,0,0.4,1014.0,12.9,0,24,0,200,0,34,1.7,0, ,1.4,2.1, , , 
12-sep-1945,0,19.1,0,12.9,0,13.3,0,3.7,1010.3,17.2,0,36,0,240,0,49,2.2,0, ,1.4,2.2, , , 
13-sep-1945,0,15.8,0,11.4,0,10.0,0,7.8,1005.1,14.8,0,24,0,250,0,37,2.8,0, ,1.5,2.3, , , 
14-sep-1945,0,17.7,0,11.7,0,10.6,0,0.6,1004.8,12.3,0,20,0,270,0,29,4.2,0, ,1.9,2.7, , , 
15-sep-1945,0,17.3,0,12.3,0,11.3,0,11.1,1005.4,12.5,0,19,0,240,0,27,0.0,0, ,1.0,1.5, , , 
16-sep-1945,0,19.8,0,16.7,0,12.7,0,4.7,1003.7,14.5,0,21,0,220,0,27,0.1,0, ,1.2,1.8, , , 
17-sep-1945,0,19.3,0,13.6,0,12.3,0,0.5,1005.3,5.8,0,17,0,190,0,24,1.5,0, ,1.3,1.8, , , 
18-sep-1945,0,20.7,0,12.9,0,11.7,0,0.9,1002.2,6.0,0,16,0,280,0,19,6.1,0, ,1.8,2.4, , , 
19-sep-1945,0,15.2,0,10.8,0,10.3,0,4.1,1005.0,8.9,0,14,0,270,0,24,0.0,0, ,0.9,1.3, , , 
20-sep-1945,0,15.2,0,9.4,0,6.7,0,1.5,1009.5,13.7,0,28,0,240,0,41,4.4,0, ,1.5,2.3, , , 
21-sep-1945,0,17.1,0,9.3,0,8.0,0,5.4,1003.5,19.1,0,45,0,250,0,56,3.1,0, ,1.7,2.5, , , 
22-sep-1945,0,14.6,0,8.9,0,7.1,0,7.7,1005.2,17.6,0,32,0,190,0,54,5.5,0, ,2.0,3.0, , , 
23-sep-1945,0,15.8,0,9.4,0,7.7,0,4.0,1015.3,19.4,0,30,0,300,0,44,8.2,0, ,2.0,3.2, , , 
24-sep-1945,0,16.6,0,8.9,0,6.1,3,0.0,1023.8,11.1,0,21,0,300,0,27,7.6,0, ,1.9,2.7, , , 
25-sep-1945,0,15.7,0,5.4,0,0.9,2,0.0,1028.7,4.2,0,12,0,310,0,17,0.5,0, ,0.8,1.1, , , 
26-sep-1945,0,17.2,0,12.8,0,12.4,0,0.1,1028.6,9.7,0,18,0,130,0,27,1.3,0, ,1.1,1.5, , , 
27-sep-1945,0,17.6,0,13.4,0,10.4,0,0.1,1026.6,14.1,0,21,0,280,0,28,1.5,0, ,1.0,1.6, , , 
28-sep-1945,0,17.4,0,11.4,0,12.8,0,0.2,1025.8,10.2,0,17,0,290,0,25,0.4,0, ,1.0,1.4, , , 
29-sep-1945,0,15.7,0,12.5,0,9.1,2,0.0,1029.9,3.6,0,8,0,260,0,12,1.7,0, ,1.1,1.4, , , 
30-sep-1945,0,15.6,0,13.4,0,12.8,0,0.0,1032.9,6.8,0,10,0,180,0,14,0.0,0, ,1.1,1.4, , , 
01-oct-1945,0,18.0,0,10.0,0,12.4,3,0.0,1035.2,10.1,0,16,0,170,0,21,5.8,0, ,1.4,2.0, , , 
02-oct-1945,0,18.4,0,8.9,0,7.6,3,0.0,1036.2,9.2,0,15,0,150,0,20,9.5,0, ,1.3,2.0, , , 
03-oct-1945,0,18.7,0,9.6,0,8.4,3,0.0,1035.6,6.9,0,12,0,120,0,15,3.1,0, ,2.2,2.6, , , 
04-oct-1945,0,15.9,0,8.8,0,6.6,0,5.5,1028.2,8.1,0,14,0,170,0,20,0.4,0, ,0.9,1.2, , , 
05-oct-1945,0,18.3,0,6.5,0,10.0,0,2.4,1028.7,7.2,0,15,0,100,0,21,6.1,0, ,2.1,2.6, , , 
06-oct-1945,0,13.0,0,7.2,0,4.6,0,0.2,1034.8,2.7,0,8,0,250,0,10,0.0,0, ,1.1,1.4, , , 
07-oct-1945,0,16.6,0,10.2,0,10.3,3,0.0,1031.1,6.0,0,11,0,260,0,19,4.7,0, ,1.2,1.6, , , 
08-oct-1945,0,17.6,0,10.9,0,9.4,3,0.0,1024.9,6.4,0,12,0,180,0,16,3.3,0, ,1.2,1.6, , , 
09-oct-1945,0,16.0,0,9.4,0,7.2,0,1.0,1010.8,11.9,0,19,0,170,0,27,0.2,0, ,2.4,2.8, , , 
10-oct-1945,0,16.6,0,6.8,0,12.2,0,8.3,1006.7,9.6,0,18,0,160,0,25,8.1,0, ,0.7,1.3, , , 
11-oct-1945,0,16.3,0,8.1,0,4.2,0,1.3,1020.0,6.4,0,10,0,160,0,13,0.4,0, ,1.6,2.0, , , 
12-oct-1945,0,18.8,0,11.8,0,10.1,3,0.0,1027.6,5.2,0,10,0,120,0,13,0.6,0, ,0.8,1.0, , , 
13-oct-1945,0,15.6,0,13.2,0,13.6,0,0.2,1030.4,7.6,0,11,0,110,0,14,0.0,0, ,0.7,0.9, , , 
14-oct-1945,0,14.3,0,8.1,0,10.7,3,0.0,1029.5,8.4,0,12,0,100,0,16,2.8,0, ,0.7,1.0, , , 
15-oct-1945,0,16.7,0,4.3,0,1.6,3,0.0,1027.6,6.4,0,11,0,120,0,15,6.0,0, ,0.9,1.3, , , 
16-oct-1945,0,16.2,0,5.5,0,2.6,3,0.0,1024.3,11.6,0,18,0,110,0,23,7.2,0, ,1.1,1.5, , , 
17-oct-1945,0,18.8,0,11.6,0,9.4,3,0.0,1020.0,14.7,0,20,0,120,0,27,8.8,0, ,1.6,2.2, , , 
18-oct-1945,0,15.1,0,10.4,0,10.4,3,0.0,1016.9,15.0,0,21,0,110,0,27,1.4,0, ,1.1,1.5, , , 
19-oct-1945,0,16.9,0,10.2,0,8.5,2,0.0,1011.2,16.8,0,25,0,140,0,35,2.0,0, ,1.1,1.6, , , 
20-oct-1945,0,18.4,0,11.9,0,13.4,0,0.9,1005.5,11.2,0,21,0,150,0,30,1.9,0, ,0.8,1.1, , , 
21-oct-1945,0,16.4,0,6.1,0,2.3,2,0.0,1003.8,7.9,0,13,0,170,0,16,5.6,0, ,0.8,1.1, , , 
22-oct-1945,0,15.3,0,8.6,0,7.1,0,2.1,998.5,10.6,0,20,0,190,0,30,6.0,0, ,0.9,1.3, , , 
23-oct-1945,0,14.1,0,10.2,0,9.1,0,20.1,991.3,16.2,0,33,0,260,0,50,2.7,0, ,1.1,1.5, , , 
24-oct-1945,0,13.2,0,9.8,0,9.4,0,15.8,985.6,20.4,0,31,0,270,0,52,5.0,0, ,1.1,1.6, , , 
25-oct-1945,0,12.9,0,8.9,0,9.2,0,11.6,984.2,23.2,0,35,0,270,0,54,3.2,0, ,0.9,1.4, , , 
26-oct-1945,0,12.7,0,9.7,0,7.8,0,12.4,989.2,20.8,0,34,0,280,0,51,0.2,0, ,1.1,1.6, , , 
27-oct-1945,0,13.2,0,6.3,0,5.2,0,1.8,989.7,12.3,0,28,0,120,0,37,0.7,0, ,0.4,0.7, , , 
28-oct-1945,0,13.9,0,7.8,0,8.2,0,1.8,984.7,13.0,0,23,0,120,0,30,2.8,0, ,0.8,1.1, , , 
29-oct-1945,0,14.9,0,5.4,0,4.9,2,0.0,999.1,6.0,0,10,0,340,0,14,5.9,0, ,0.6,0.9, , , 
30-oct-1945,0,15.0,0,8.6,0,3.7,0,0.3,1007.8,7.0,0,18,0,160,0,25,0.2,0, ,0.6,0.7, , , 
31-oct-1945,0,15.2,0,10.4,0,9.9,0,8.6,1008.4,10.3,0,21,0,160,0,33,0.1,0, ,0.6,0.8, , , 
01-nov-1945,0,15.5,0,10.0,0,9.8,0,6.5,1011.3,8.0,0,15,0,130,0,21,5.5,0, ,0.7,0.9, , , 
02-nov-1945,0,13.4,0,5.4,0,8.9,0,5.8,1012.6,6.4,0,11,0,100,0,14,1.8,0, ,0.4,0.6, , , 
03-nov-1945,0,11.4,0,3.7,0,1.1,3,0.0,1013.6,3.8,0,7,0,40,0,9,0.0,0, ,0.9,1.1, , , 
04-nov-1945,0,14.2,0,5.1,0,1.8,0,0.6,1011.8,7.8,0,13,0,100,0,17,4.4,0, ,0.5,0.7, , , 
05-nov-1945,0,15.4,0,7.3,0,3.3,0,0.1,1018.2,8.3,0,13,0,100,0,17,5.4,0, ,0.6,0.8, , , 
06-nov-1945,0,13.5,0,8.1,0,3.4,3,0.0,1026.9,4.6,0,9,0,110,0,12,0.0,0, ,0.4,0.6, , , 
07-nov-1945,0,13.3,0,5.0,0,1.9,2,0.0,1028.2,5.6,0,12,0,260,0,15,0.0,0, ,0.3,0.5, , , 
08-nov-1945,0,14.0,0,10.2,0,10.6,2,0.0,1024.1,8.8,0,14,0,280,0,21,0.0,0, ,0.4,0.6, , , 
09-nov-1945,0,12.4,0,5.6,0,8.4,0,0.2,1019.6,6.8,0,12,0,100,0,15,7.1,0, ,0.2,0.4, , , 
10-nov-1945,0,10.6,0,2.2,1,-0.6,3,0.0,1017.9,8.8,0,16,0,110,0,20,0.1,0, ,0.5,0.7, , , 
11-nov-1945,0,10.6,0,4.4,0,2.7,0,3.9,1015.6,9.3,0,14,0,150,0,19,2.3,0, ,0.6,0.7, , , 
12-nov-1945,0,10.6,0,0.8,0,6.2,0,1.3,1016.2,5.3,0,11,0,10,0,16,1.7,0, ,0.4,0.5, , , 
13-nov-1945,0,9.8,0,0.8,1,-1.8,3,0.0,1017.8,7.0,0,14,0,110,0,18,2.9,0, ,0.4,0.5, , , 
14-nov-1945,0,10.9,0,6.4,0,3.3,2,0.0,1013.5,13.9,0,18,0,110,0,23,3.8,0, ,0.7,0.9, , , 
15-nov-1945,0,10.0,0,8.2,0,6.3,0,10.4,1012.7,12.0,0,18,0,100,0,23,0.0,0, ,0.5,0.7, , , 
16-nov-1945,0,9.8,0,7.2,0,6.7,0,0.8,1011.9,20.2,0,26,0,100,0,36,0.0,0, ,0.9,1.3, , , 
17-nov-1945,0,9.4,0,7.0,0,6.1,0,1.9,1012.7,12.7,0,19,0,80,0,27,0.0,0, ,0.8,1.0, , , 
18-nov-1945,0,10.9,0,7.1,0,5.0,2,0.0,1015.3,15.5,0,26,0,100,0,36,0.0,0, ,1.0,1.3, , , 
19-nov-1945,0,11.1,0,8.7,0,7.8,0,0.4,1014.2,12.1,0,19,0,120,0,26,0.0,0, ,0.6,0.7, , , 
20-nov-1945,0,13.0,0,4.7,0,8.9,0,3.0,1014.4,7.7,0,14,0,120,0,19,0.0,0, ,0.2,0.4, , , 
21-nov-1945,0,12.1,0,1.1,1,-1.3,0,0.2,1018.5,6.5,0,12,0,150,0,15,5.9,0, ,0.1,0.2, , , 
22-nov-1945,0,12.7,0,4.3,0,1.8,0,5.7,1015.2,10.8,0,24,0,150,0,31,2.5,0, ,0.5,0.6, , , 
23-nov-1945,0,10.1,0,3.4,0,6.7,0,1.6,1010.2,4.0,0,10,0,150,0,14,1.5,0, ,0.2,0.3, , , 
24-nov-1945,0,8.9,0,2.0,0,2.5,3,0.0,1011.3,9.2,0,15,0,130,0,19,2.3,0, ,0.2,0.2, , , 
25-nov-1945,0,13.4,0,6.6,0,4.9,3,0.0,1017.5,10.2,0,17,0,150,0,23,1.6,0, ,0.4,0.5, , , 
26-nov-1945,0,10.8,0,0.1,0,3.9,2,0.0,1026.1,6.6,0,14,0,20,0,19,2.0,0, ,0.7,0.8, , , 
27-nov-1945,0,6.9,1,-3.6,1,-6.0,2,0.0,1027.4,3.0,0,7,0,350,0,11,5.8,0, ,0.0,0.0, , , 
28-nov-1945,0,10.1,0,2.4,1,-5.2,2,0.0,1022.2,4.0,0,9,0,190,0,12,0.1,0, ,0.3,0.4, , , 
29-nov-1945,0,9.4,0,7.3,0,6.6,2,0.0,1016.6,5.7,0,11,0,200,0,14,0.0,0, ,0.4,0.6, , , 
30-nov-1945,0,10.0,0,7.7,0,6.6,0,0.3,1009.6,8.4,0,16,0,130,0,20,0.0,0, ,0.5,0.6, , , 
01-dec-1945,0,12.9,0,8.2,0,6.7,0,5.2,998.2,15.9,0,30,0,210,0,47,0.0,0, ,0.5,0.7, , , 
02-dec-1945,0,9.0,0,5.2,0,4.4,0,6.8,999.4,16.3,0,25,0,230,0,41,1.2,0, ,0.8,1.0, , , 
03-dec-1945,0,9.9,0,3.3,0,1.8,0,5.3,1013.3,9.3,0,16,0,340,0,25,5.0,0, ,0.5,0.5, , , 
04-dec-1945,0,12.2,0,5.2,0,3.8,0,11.6,1010.2,17.9,0,31,0,170,0,42,0.2,0, ,2.0,2.5, , , 
05-dec-1945,0,9.4,0,0.0,0,1.1,3,0.0,1021.0,6.2,0,13,0,310,0,20,3.7,0, ,0.3,0.4, , , 
06-dec-1945,0,10.1,1,-0.9,1,-4.0,0,23.0,1022.8,11.2,0,22,0,180,0,31,0.0,0, ,0.9,1.1, , , 
07-dec-1945,0,12.7,0,8.5,0,8.5,0,0.4,1020.6,7.0,0,16,0,260,0,24,0.0,0, ,0.2,0.3, , , 
08-dec-1945,0,10.9,0,7.4,0,4.6,0,0.1,1024.9,7.8,0,12,0,180,0,15,0.1,0, ,0.2,0.3, , , 
09-dec-1945,0,10.6,0,4.1,0,8.6,0,1.5,1027.2,5.9,0,10,0,240,0,15,0.2,0, ,0.9,1.1, , , 
10-dec-1945,0,8.8,0,2.7,0,0.6,0,0.1,1030.6,5.0,0,9,0,350,0,13,0.0,0, ,0.2,0.3, , , 
11-dec-1945,0,9.1,0,5.1,0,1.8,2,0.0,1033.9,3.8,0,7,0,340,0,11,0.1,0, ,0.2,0.3, , , 
12-dec-1945,0,8.8,0,3.9,1,-0.3,2,0.0,1032.4,4.1,0,11,0,310,0,12,0.0,0, ,0.2,0.2, , , 
13-dec-1945,0,9.5,0,4.9,0,1.8,0,0.2,1026.9,5.1,0,12,0,280,0,18,1.9,0, ,0.2,0.2, , , 
14-dec-1945,0,10.1,0,5.4,0,5.6,0,0.4,1019.3,7.3,0,12,0,150,0,18,0.0,0, ,0.3,0.4, , , 
15-dec-1945,0,12.6,0,9.9,0,7.8,0,1.6,1005.8,12.3,0,24,0,170,0,34,0.1,0, ,0.4,0.5, , , 
16-dec-1945,0,13.2,0,9.4,0,8.8,0,1.4,988.8,15.4,0,25,0,240,0,36,2.1,0, ,0.6,0.7, , , 
