Station Name: BALLYHAISE
Station Height: 78 M 
Latitude:54.051  ,Longitude: -7.310


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
08-oct-2003,0,16.9,0,12.1, , ,0,0.0,1007.2,11.3,0,19,0,280,0,35, , , , , , ,723
09-oct-2003,0,16.2,0,10.3, , ,0,2.2,1005.2,10.7,0,17,0,240,0,30, , , , , , ,290
10-oct-2003,0,14.3,0,7.5, , ,0,0.0,1007.6,6.2,0,12,0,280,0,20, , , , , , ,504
11-oct-2003,0,15.1,0,8.3, , ,0,1.2,1011.2,3.0,0,7,0,190,0,11, , , , , , ,369
12-oct-2003,0,14.8,0,11.4, , ,0,0.2,1009.9,6.8,0,14,0,130,0,20, , , , , , ,375
13-oct-2003,0,14.6,0,10.8, , ,0,1.5,1009.2,5.4,0,9,0,130,0,14, , , , , , ,176
14-oct-2003,0,14.4,0,11.6, , ,0,0.0,1013.3,5.4,0,9,0,120,0,15, , , , , , ,473
15-oct-2003,0,13.5,0,3.6, , ,0,0.0,1017.3,5.6,0,11,0,90,0,19, , , , , , ,808
16-oct-2003,0,14.0,0,4.3, , ,0,0.2,1018.2,5.9,0,12,0,110,0,20, , , , , , ,1003
17-oct-2003,0,13.0,0,4.6, , ,0,0.3,1015.0,6.0,0,12,0,100,0,21, , , , , , ,1007
18-oct-2003,0,13.0,0,2.7, , ,0,0.0,1010.8,4.5,0,10,0,70,0,16, , , , , , ,824
19-oct-2003,0,9.1,0,1.7, , ,0,0.0,1008.2,5.0,0,11,0,70,0,19, , , , , , ,409
20-oct-2003,0,9.5,0,-1.2, , ,0,0.1,1007.2,3.5,0,8,0,310,0,14, , , , , , ,748
21-oct-2003,0,8.5,0,-1.7, , ,0,2.2,1003.7,5.0,0,11,0,30,0,19, , , , , , ,838
22-oct-2003,0,7.6,0,1.0, , ,0,1.1,1005.8,7.4,0,14,0,40,0,23, , , , , , ,458
23-oct-2003,0,10.7,0,-0.5, , ,0,0.4,1013.5,3.3,0,9,0,10,0,14, , , , , , ,814
24-oct-2003,0,10.3,0,-2.0, , ,0,0.3,1018.2,3.4,0,10,0,10,0,20, , , , , , ,716
25-oct-2003,0,9.9,0,-1.1, , ,0,0.5,1014.8,5.6,0,15,0,310,0,24, , , , , , ,416
26-oct-2003,0,10.9,0,0.9, , ,0,0.1,1011.0,2.4,0,5,0,310,0,7, , , , , , ,710
27-oct-2003,0,11.9,0,0.8, , ,0,0.0,1010.0,3.9,0,7,0,240,0,12, , , , , , ,482
28-oct-2003,0,11.1,0,5.8, , ,0,2.7,998.8,4.4,0,9,0,330,0,14, , , , , , ,163
29-oct-2003,0,8.5,0,1.2, , ,0,5.7,986.7,6.1,0,14,0,310,0,25, , , , , , ,441
30-oct-2003,0,8.0,0,-0.5, , ,0,1.7,973.9,7.5,0,14,0,90,0,25, , , , , , ,176
31-oct-2003,0,11.0,0,5.0, , ,0,0.1,977.5,10.4,0,16,0,50,0,31, , , , , , ,430
01-nov-2003,0,10.3,0,0.8, , ,0,6.5,980.0,8.2,0,21,0,170,0,32, , , , , , ,282
02-nov-2003,0,10.5,0,6.4, , ,0,5.4,969.8,8.9,0,15,0,220,0,24, , , , , , ,512
03-nov-2003,0,11.1,0,5.0, , ,0,1.1,987.5,9.1,0,19,0,280,0,30, , , , , , ,574
04-nov-2003,0,15.0,0,5.1, , ,0,0.0,1001.5,12.4,0,21,0,180,0,33, , , , , , ,204
05-nov-2003,0,14.6,0,11.4, , ,0,2.4,998.0,16.4,0,22,0,160,0,39, , , , , , ,121
06-nov-2003,0,14.9,0,4.6, , ,0,0.0,1006.4,7.6,0,15,0,130,0,25, , , , , , ,614
07-nov-2003,0,15.9,0,7.5, , ,0,0.0,1012.5,7.4,0,12,0,130,0,22, , , , , , ,531
08-nov-2003,0,9.1,0,7.2, , ,0,0.0,1008.8,9.7,0,14,0,100,0,26, , , , , , ,115
09-nov-2003,0,13.3,0,6.2, , ,0,0.1,1000.3,9.5,0,16,0,120,0,27, , , , , , ,242
10-nov-2003,0,12.8,0,7.4, , ,0,0.2,1005.1,6.5,0,11,0,170,0,18, , , , , , ,556
11-nov-2003,0,11.7,0,8.3, , ,0,22.8,999.7,10.4,0,15,0,130,0,26, , , , , , ,91
12-nov-2003,0,11.4,0,3.7, , ,0,1.9,1000.9,6.2,0,12,0,170,0,18, , , , , , ,471
13-nov-2003,0,10.6,0,4.2, , ,0,3.8,995.5,7.5,0,19,0,140,0,32, , , , , , ,185
14-nov-2003,0,10.9,0,7.8, , ,0,6.7,986.4,12.1,0,18,0,290,0,28, , , , , , ,152
15-nov-2003,0,9.3,0,3.0, , ,0,0.1,1002.6,6.0,0,10,0,270,0,16, , , , , , ,342
16-nov-2003,0,9.4,0,1.5, , ,0,0.9,1007.8,4.5,0,8,0,220,0,17, , , , , , ,456
17-nov-2003,0,13.1,0,7.6, , ,0,2.4,1003.9,8.3,0,14,0,240,0,23, , , , , , ,89
18-nov-2003,0,13.3,0,11.8, , ,0,0.2,1003.2,13.4,0,19,0,240,0,30, , , , , , ,61
19-nov-2003,0,12.8,0,8.5, , ,0,3.9,1003.6,7.5,0,19,0,260,0,31, , , , , , ,163
20-nov-2003,0,10.6,0,2.5, , ,0,0.3,998.7,5.5,0,10,0,260,0,18, , , , , , ,415
21-nov-2003,0,8.3,0,2.2, , ,0,0.2,996.6,5.0,0,9,0,210,0,15, , , , , , ,381
22-nov-2003,0,8.3,0,2.1, , ,0,0.1,993.2,5.9,0,10,0,220,0,16, , , , , , ,433
23-nov-2003,0,9.4,0,0.4, , ,0,0.2,996.9,3.9,0,9,0,230,0,15, , , , , , ,443
24-nov-2003,0,9.5,0,-0.3, , ,0,0.3,993.5,7.0,0,13,0,220,0,23, , , , , , ,147
25-nov-2003,0,9.5,0,4.5, , ,0,6.7,980.3,7.5,0,13,0,270,0,22, , , , , , ,182
26-nov-2003,0,5.8,0,1.8, , ,0,0.7,975.4,8.0,0,15,0,260,0,27, , , , , , ,272
27-nov-2003,0,6.1,0,1.6, , ,0,2.8,987.8,7.7,0,12,0,240,0,20, , , , , , ,265
28-nov-2003,0,10.6,0,0.4, , ,0,14.9,990.2,8.1,0,14,0,170,0,24, , , , , , ,97
29-nov-2003,0,10.6,0,3.7, , ,0,23.5,982.9,7.9,0,17,0,290,0,26, , , , , , ,122
30-nov-2003,0,6.8,0,-2.3, , ,0,0.2,989.8,4.7,0,11,0,220,0,17, , , , , , ,364
01-dec-2003,0,6.1,0,-2.8, , ,0,0.3,999.8,5.2,0,10,0,10,0,16, , , , , , ,353
02-dec-2003,0,9.2,0,5.7, , ,0,0.2,1007.8,6.6,0,16,0,20,0,25, , , , , , ,83
