Station Name: MULLINGAR
Station Height: 101 M 
Latitude:53.537  ,Longitude: -7.362


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
08-nov-1973,0,13.6,0,10.6,0,8.2,0,0.6,1010.7,17.6,0,23,0,240,0,37,9.725,0.6,0.9, , , , 
09-nov-1973,0,12.3,0,7.1,0,10.5,0,13.9,1004.2,14.8,0,21,0,230,0,36,10.175,0.4,0.7, , , , 
10-nov-1973,0,9.8,0,2.7,0,2.8,0,1.3,1003.9,10.4,0,19,0,300,0,36,8.600,0.4,0.5, , , , 
11-nov-1973,0,8.2,0,1.9,1,-0.2,0,0.8,1011.2,9.3,0,17,0,280,0,29,6.050,0.4,0.6, , , , 
12-nov-1973,0,12.6,0,6.5,1,-1.5,0,5.2,1004.2,20.0,0,25,0,260,0,45,8.050,0.7,1.0, , , , 
13-nov-1973,0,9.8,0,5.1,0,4.6,0,0.4,1000.2,14.1,0,19,0,280,0,32,7.500,0.6,0.8, , , , 
14-nov-1973,0,10.6,0,4.0,0,2.2,0,5.1,997.8,9.0,0,17,0,280,0,33,6.950,0.3,0.5, , , , 
15-nov-1973,0,8.8,0,4.8,0,2.7,2,0.0,998.9,9.0,0,13,0,290,0,22,6.975,0.4,0.5, , , , 
16-nov-1973,0,6.8,1,-4.2,1,-0.5,0,0.1,1006.8,6.0,0,14,0,330,0,23,5.650,0.2,0.3, , , , 
17-nov-1973,0,8.1,1,-4.8,1,-8.5,2,0.0,1009.2,6.5,0,19,0,180,0,30,3.450,0.2,0.3, , , , 
18-nov-1973,0,12.2,0,7.7,1,-4.2,0,0.1,1000.9,13.0,0,18,0,180,0,30,6.900,0.6,0.8, , , , 
19-nov-1973,0,8.1,1,-3.4,1,-2.3,3,0.0,1011.3,4.7,0,11,0,350,0,21,6.150,0.0,0.1, , , , 
20-nov-1973,0,7.2,1,-4.7,1,-8.9,3,0.0,1019.6,2.1,0,9,0,160,0,15,3.425,0.0,0.1, , , , 
21-nov-1973,0,10.3,0,2.4,1,-4.4,3,0.0,1016.2,5.1,0,11,0,170,0,17,5.525,0.2,0.3, , , , 
22-nov-1973,0,9.7,0,3.6,1,-0.9,0,0.3,1011.7,5.1,0,11,0,150,0,18,6.000,0.3,0.4, , , , 
23-nov-1973,0,10.6,0,8.1,0,6.9,2,0.0,1011.2,8.6,0,17,0,250,0,29,7.650,0.5,0.6, , , , 
24-nov-1973,0,11.5,0,5.5,0,8.4,0,1.7,1005.8,13.1,0,24,0,260,0,43,8.075,0.6,0.8, , , , 
25-nov-1973,0,6.1,1,-1.4,0,0.8,0,1.1,1014.8,5.4,0,10,0,320,0,18,5.975,0.0,0.0, , , , 
26-nov-1973,0,3.2,1,-3.5,1,-6.3,3,0.0,1022.2,5.6,0,9,0,300,0,15,3.050,0.0,0.0, , , , 
